id,sbp,spc,cla,sbc,ifc,dvn,sbd,ord,sbo,ifo,spf,fam,sbf,tri,gen,sp
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,galenus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,westwoodi
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,rusticus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,hippocrates
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,gariepinus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,striatum
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,proboscideus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,rugosus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,aesculapius
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,bennigseni
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,denticollis
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,endroedyi
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,fitzsimoni
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,glentoni
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,rodriguesi
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,schinzi
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,valeflorae
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,sacer
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,cicatricosus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,cristatus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeus,laevistriatus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Sceliages,hippias
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Sceliages,adamastor
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Scarabaeini,Sceliages,brittoni
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Hymenoptera,Apocrita,NA,Apoidea,Sphecidae,Sphecinae,Sceliphronini,Sceliphron,assimile
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Hymenoptera,Apocrita,NA,Apoidea,Sphecidae,Sphecinae,Sceliphronini,Sceliphron,laetum
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Orthopterida,Orthoptera,Ensifera,NA,NA,Acrididae,NA,NA,Schistocerca,gregaria
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Sternorrhyncha,Aphidomorpha,Aphidoidea,Aphididae,NA,NA,Schizolachnus,piniradiatae
NA,Chelicerata,NA,Arachnida,NA,NA,NA,NA,Acari,NA,NA,NA,Tetranychidae,NA,NA,Schizotetranychus,longus
NA,Chelicerata,NA,Arachnida,NA,NA,NA,NA,Acari,NA,NA,NA,Tetranychidae,NA,NA,Schizotetranychus,miscanthi
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,NA,NA,Sciara,coprophila
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Hymenoptera,Apocrita,NA,Vespoidea,Scoliidae,NA,NA,Scolia,manilae
