"","taxon","parent_taxon"
"502","Isogenoides","Perlodini"
"503","Perlinodes","Arcynopterygini"
"504","Cultus","Diploperlini"
"505","Soliperla","Peltoperlinae"
"506","Kogotus","Diploperlini"
"507","Baumannella","Diploperlini"
"508","Calliperla","Isoperlinae"
"509","Cascadoperla","Isoperlinae"
"510","Chernokrilus","Perlodini"
"511","Cosumnoperla","Isoperlinae"
"512","Diploperla","Diploperlini"
"513","Frisonia","Arcynopterygini"
"514","Malirekus","Perlodini"
"515","Oconoperla","Perlodini"
"516","Oroperla","Arcynopterygini"
"517","Osobenus","Diploperlini"
"518","Pictetiella","Diploperlini"
"519","Pictetia",NA
"520","Rickera","Diploperlini"
"521","Salmoperla","Arcynopterygini"
"522","Setvena","Arcynopterygini"
"523","Yugus","Perlodini"
"524","Chloroperlidae","Systellognatha"
"525","Alloperla","Chloroperlinae"
"526","Paraperla","Paraperlinae"
"527","Kathroperla","Paraperlinae"
"528","Perlomyia","Leuctrinae"
"529","Perlinella","Acroneuriini"
"530","Atoperla",NA
"531","Perlesta","Acroneuriini"
"532","Suwallia","Chloroperlinae"
"533","Haploperla","Chloroperlinae"
"534","Hastaperla",NA
"535","Rasvena","Chloroperlinae"
"536","Sweltsa","Chloroperlinae"
"537","Utaperla","Paraperlinae"
"538","Bisancora","Chloroperlinae"
"539","Neaviperla",NA
"540","Plumiperla","Chloroperlinae"
"541","Triznaka","Chloroperlinae"
"542","Yaroperla",NA
"543","Alaskaperla","Chloroperlinae"
"544","Psocoptera",NA
"545","Trogiomorpha","Psocodea"
"546","Trogiidae","Atropetae"
"547","Lepidopsocidae","Atropetae"
"548","Psyllipsocidae","Psocathropetae"
"549","Troctomorpha","Psocodea"
"550","Pachytroctidae","Nanopsocetae"
"551","Liposcelidae",NA
"552","Eupsocida",NA
"553","Epipsocidae","Epipsocetae"
"554","Myopsocidae","Psocetae"
"555","Psocidae","Psocetae"
"556","Mesopsocidae","Homilopsocidea"
"557","Pseudocaeciliidae","Homilopsocidea"
"558","Polypsocidae",NA
"559","Zoraptera","Polyneoptera"
"560","Zorotypidae","Zoraptera"
"561","Mallophaga",NA
"562","Gyropidae","Amblycera"
"563","Menoponidae","Amblycera"
"564","Laemobothriidae","Amblycera"
"565","Ricinidae","Amblycera"
"566","Philopteridae","Ischnocera"
"567","Trichodectidae","Ischnocera"
"568","Anoplura","Psocodea"
"569","Echinophthiriidae","Anoplura"
"570","Haematopinidae","Anoplura"
"571","Pediculidae","Anoplura"
"572","Thysanoptera","Paraneoptera"
"573","Terebrantia","Thysanoptera"
"574","Aeolothripidae","Terebrantia"
"575","Merothripidae","Terebrantia"
"576","Heterothripidae","Terebrantia"
"577","Thripidae","Terebrantia"
"578","Selenothrips","Panchaetothripinae"
"579","Tubulifera","Thysanoptera"
"580","Phlaeothripidae","Tubulifera"
"581","Heteroptera","Hemiptera"
"582","Hemiptera","Paraneoptera"
"583","Nepomorpha","Heteroptera"
"584","Heteroptera-nepomorpha",NA
"585","Hydrocorisae",NA
"586","Cryptocerata",NA
"587","Corixidae","Corixoidea"
"588","Ramphocorixa","Corixinae"
"589","Sigara","Corixinae"
"590","Trichocorixa","Corixinae"
"591","Hesperocorixa","Corixinae"
"592","Dasycorixa","Corixinae"
"593","Arctocoriza",NA
"594","Arctocorixa",NA
"595","Corixa","Corixinae"
"596","Corisella","Corixinae"
"597","Palmacorixa","Corixinae"
"598","Cenocorixa","Corixinae"
"599","Callicorixa","Corixinae"
"600","Cymatia","Cymatiinae"
"601","Centrocorisa","Corixinae"
"602","Morphocorixa","Corixinae"
"603","Pseudocorixa","Corixinae"
"604","Glaenocorisa","Corixinae"
"605","Graptocorixa","Corixinae"
"606","Neocorixa","Corixinae"
"607","Notonectidae","Notonectoidea"
"608","Notonecta","Notonectini"
"609","Buenoa","Anisopinae"
"610","Martarega","Nychiini"
"611","Pleidae","Notonectoidea"
"612","Neoplea","Pleidae"
"613","Paraplea","Pleidae"
"614","Naucoridae","Naucoroidea"
"615","Ambrysus","Ambrysinae"
"616","Ambrysus-",NA
"617","Pelocoris","Naucorinae"
"618","Cryphocricos","Cryphocricinae"
"619","Limnocoris","Limnocorinae"
"620","Usingerina","Limnocorinae"
"621","Belostomatidae","Nepoidea"
"622","Belostoma","Belostomatinae"
"623","Zaitha",NA
"624","Perthostoma",NA
"625","Lethocerus","Lethocerinae"
"626","Iliastus",NA
"627","Lethocerus",NA
"628","Amorgius",NA
"629","Abedus","Belostomatinae"
"630","Pedinocoris",NA
"631","Stenoscytus",NA
"632","Abedus",NA
"633","Parabedus",NA
"634","Nepidae","Nepoidea"
"635","Ranatra","Ranatrinae"
"636","Nepa","Nepinae"
"637","Gelastocoridae","Gelastocoroidea"
"638","Gelastocoris","Gelastocorinae"
"639","Galgulus",NA
"640","Nerthra","Nerthrinae"
"641","Mononyx",NA
"642","Peltopterus",NA
"643","Glossoaspis",NA
"644","Ochteridae","Gelastocoroidea"
"645","Ochterus","Ochteridae"
"646","Pelogonus",NA
"647","Gerromorpha","Heteroptera"
"648","Heteroptera-gerromorpha",NA
"649","Amphibicorisae",NA
"650","Gerridae","Gerroidea"
"651","Rheumatobates","Rhagodotarsinae"
"652","Trepobates","Trepobatinae"
"653","Stephania",NA
"654","Kallistometra",NA
"655","Halobates","Halobatinae"
"656","Gerris","Gerrinae"
"657","Limnotrechus",NA
"658","Hygrotrechus",NA
"659","Limnogonus","Gerrinae"
"660","Metrobates","Trepobatinae"
"661","Trepobatopsis",NA
"662","Limnoporus","Gerrinae"
"663","Neogerris","Gerrinae"
"664","Veliidae","Gerroidea"
"665","Rhagovelia","Rhagoveliinae"
"666","Microvelia","Microveliinae"
"667","Hydroessa",NA
"668","Paravelia","Veliinae"
"669","Husseyella","Microveliinae"
"670","Trochopus","Rhagoveliinae"
"671","Trochopus",NA
"672","Hydrometridae","Hydrometroidea"
"673","Hydrometra","Hydrometrinae"
"674","Limnobates",NA
"675","Mesoveliidae","Mesovelioidea"
"676","Mesovelia","Mesoveliinae"
"677","Hebridae","Hebroidea"
"678","Hebrus","Hebrinae"
"679","Naeogeus",NA
"680","Merragata","Hebrinae"
